peak	kmers [#]	kmers [proportion]	summit B / (A + B)	summit A + B
AB	3082405	0.68	0.48	104.81
AAB	492454	0.11	0.34	152.6
AABB	459656	0.1	0.49	200.39
AAAB	214219	0.05	0.25	200.39
AAAABB	172022	0.04	0.34	307.91
AAAAB	130433	0.03	0.21	248.18
